"","response.header.resultCode","response.header.resultMsg","response.body.items.item.dateKind","response.body.items.item.dateName","response.body.items.item.isHoliday","response.body.items.item.locdate","response.body.items.item.seq","response.body.numOfRows","response.body.pageNo","response.body.totalCount"
"1","00","NORMAL SERVICE.","01","신정","Y",20150101,1,10,1,1
"2","00","NORMAL SERVICE.","01","설날","Y",20150218,1,10,1,3
"3","00","NORMAL SERVICE.","01","설날","Y",20150219,1,10,1,3
"4","00","NORMAL SERVICE.","01","설날","Y",20150220,1,10,1,3
"5","00","NORMAL SERVICE.","01","삼일절","Y",20150301,1,10,1,1
"6","00","NORMAL SERVICE.","01","어린이날","Y",20150505,1,10,1,2
"7","00","NORMAL SERVICE.","01","석가탄신일","Y",20150525,1,10,1,2
"8","00","NORMAL SERVICE.","01","현충일","Y",20150606,1,10,1,1
"9","00","NORMAL SERVICE.","01","광복절","Y",20150815,1,10,1,1
"10","00","NORMAL SERVICE.","01","추석","Y",20150926,1,10,1,4
"11","00","NORMAL SERVICE.","01","추석","Y",20150927,1,10,1,4
"12","00","NORMAL SERVICE.","01","추석","Y",20150928,1,10,1,4
"13","00","NORMAL SERVICE.","01","대체공휴일","Y",20150929,1,10,1,4
"14","00","NORMAL SERVICE.","01","개천절","Y",20151003,1,10,1,2
"15","00","NORMAL SERVICE.","01","한글날","Y",20151009,1,10,1,2
"16","00","NORMAL SERVICE.","01","기독탄신일","Y",20151225,1,10,1,1
"17","00","NORMAL SERVICE.","01","신정","Y",20160101,1,10,1,1
"18","00","NORMAL SERVICE.","01","설날","Y",20160207,1,10,1,4
"19","00","NORMAL SERVICE.","01","설날","Y",20160208,1,10,1,4
"20","00","NORMAL SERVICE.","01","설날","Y",20160209,1,10,1,4
"21","00","NORMAL SERVICE.","01","대체공휴일","Y",20160210,1,10,1,4
"22","00","NORMAL SERVICE.","01","삼일절","Y",20160301,1,10,1,1
"23","00","NORMAL SERVICE.","01","국회의원선거일","Y",20160413,1,10,1,1
"24","00","NORMAL SERVICE.","01","어린이날","Y",20160505,1,10,1,3
"25","00","NORMAL SERVICE.","01","임시공휴일","Y",20160506,1,10,1,3
"26","00","NORMAL SERVICE.","01","석가탄신일","Y",20160514,1,10,1,3
"27","00","NORMAL SERVICE.","01","현충일","Y",20160606,1,10,1,1
"28","00","NORMAL SERVICE.","01","광복절","Y",20160815,1,10,1,1
"29","00","NORMAL SERVICE.","01","추석","Y",20160914,1,10,1,3
"30","00","NORMAL SERVICE.","01","추석","Y",20160915,1,10,1,3
"31","00","NORMAL SERVICE.","01","추석","Y",20160916,1,10,1,3
"32","00","NORMAL SERVICE.","01","개천절","Y",20161003,1,10,1,2
"33","00","NORMAL SERVICE.","01","한글날","Y",20161009,1,10,1,2
"34","00","NORMAL SERVICE.","01","기독탄신일","Y",20161225,1,10,1,1
"35","00","NORMAL SERVICE.","01","신정","Y",20170101,1,10,1,5
"36","00","NORMAL SERVICE.","01","설날","Y",20170127,1,10,1,5
"37","00","NORMAL SERVICE.","01","설날","Y",20170128,1,10,1,5
"38","00","NORMAL SERVICE.","01","설날","Y",20170129,1,10,1,5
"39","00","NORMAL SERVICE.","01","대체공휴일","Y",20170130,1,10,1,5
"40","00","NORMAL SERVICE.","01","삼일절","Y",20170301,1,10,1,1
"41","00","NORMAL SERVICE.","01","석가탄신일","Y",20170503,1,10,1,3
"42","00","NORMAL SERVICE.","01","어린이날","Y",20170505,1,10,1,3
"43","00","NORMAL SERVICE.","01","대통령선거일","Y",20170509,1,10,1,3
"44","00","NORMAL SERVICE.","01","현충일","Y",20170606,1,10,1,1
"45","00","NORMAL SERVICE.","01","광복절","Y",20170815,1,10,1,1
"46","00","NORMAL SERVICE.","01","임시공휴일","Y",20171002,2,10,1,7
"47","00","NORMAL SERVICE.","01","개천절","Y",20171003,1,10,1,7
"48","00","NORMAL SERVICE.","01","추석","Y",20171003,2,10,1,7
"49","00","NORMAL SERVICE.","01","추석","Y",20171004,1,10,1,7
"50","00","NORMAL SERVICE.","01","추석","Y",20171005,1,10,1,7
"51","00","NORMAL SERVICE.","01","대체공휴일","Y",20171006,1,10,1,7
"52","00","NORMAL SERVICE.","01","한글날","Y",20171009,1,10,1,7
"53","00","NORMAL SERVICE.","01","기독탄신일","Y",20171225,1,10,1,1
"54","00","NORMAL SERVICE.","01","1월1일","Y",20180101,1,10,1,1
"55","00","NORMAL SERVICE.","01","설날","Y",20180215,1,10,1,3
"56","00","NORMAL SERVICE.","01","설날","Y",20180216,1,10,1,3
"57","00","NORMAL SERVICE.","01","설날","Y",20180217,1,10,1,3
"58","00","NORMAL SERVICE.","01","삼일절","Y",20180301,1,10,1,1
"59","00","NORMAL SERVICE.","01","어린이날","Y",20180505,1,10,1,3
"60","00","NORMAL SERVICE.","01","대체휴무일","Y",20180507,1,10,1,3
"61","00","NORMAL SERVICE.","01","부처님오신날","Y",20180522,1,10,1,3
